,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.783,0.7824207492795389,0.8916256157635468,0.8334612432847276
Random Forest,0.91,0.9240196078431373,0.9285714285714286,0.9262899262899262
Gradient Boosting,0.9185,0.9306122448979591,0.9359605911330049,0.9332787556283259
Support Vector Machine,0.775,0.7584118438761777,0.9252873563218391,0.8335798816568047
K-Nearest Neighbors,0.7425,0.7537906137184116,0.8571428571428571,0.8021513638109873
Naive Bayes,0.8785,0.8747117601844735,0.9343185550082101,0.9035331480746328
